GeneNames
ADORA2A
ARG1
AXL
BCL2
BTLA
CCL22
CCL4
CCL5
CCR2
CCR4
CCR5
CCR7
CD14
CD163
CD19
CD1C
CD2
CD209
CD244
CD27
CD274
CD276
CD33
CD38
CD3D
CD3E
CD4
CD40
CD40LG
CD44
CD47
CD5
CD6
CD69
CD70
CD74
CD79A
CD80
CD86
CD8A
CD8B
CMKLR1
CSF1
CSF1R
CTLA4
CX3CR1
CXCL10
CXCL11
CXCL13
CXCL9
CXCR3
CXCR4
CXCR5
CXCR6
ENTPD1
EOMES
FAS
FOXP3
FUT4
G6PD
GAPDH
GZMA
GZMB
GZMK
HAVCR2
HLADRB1
ICAM1
ICOS
ICOSLG
IDO1
IFIH1
IFNG
IGHA
IGHG
IGHM
IL10
IL10RA
IL15
IL17A
IL18
IL1B
IL2
IL2RA
IL2RB
IL2RG
IL6
IL7R
IRF4
ITGAL
ITGAM
ITGAX
LAG3
MKI67
MMP9
MRC1
MS4A1
NCAM1
NCR1
NKG7
NLRP3
NOS2
NT5E
PDCD1
PDCD1LG2
PECAM1
PRF1
PTGS2
PTPRC
RORC
SELL
SIRPA
SLAMF7
STAT1
TBX21
TFRC
TGFB1
TGFB2
TGFB-3_1
TGFB-3_2
TIGIT
TNF
TNFRSF14
TNFRSF18
TNFRSF4
TNFRSF9
TNFSF4
TNFSF9
VEGFA
VTCN1
